,empty_slots,free_bikes,latitude,longitude,total_bikes,rating,review_count,longitude_x,name,categories,longitude_y
0,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Charred,BBQ Joint,-79.87721174955368
1,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Booster Juice,Juice Bar,-79.87721174955368
2,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Lou Dawg's Southern Bbq,BBQ Joint,-79.87721174955368
3,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Freshly Squeezed,Juice Bar,-79.87721174955368
4,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Saltlick Smokehouse,BBQ Joint,-79.87721174955368
5,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Big Scoops,Ice Cream Parlor,-79.87721174955368
6,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,-79.87721174955368
7,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,K W BBQ Kitchen,BBQ Joint,-79.87721174955368
8,8,4,43.259125842121065,-79.87721174955368,12,4.0,175.0,-79.87721174955368,Willard's Ice Cream,Ice Cream Parlor,-79.87721174955368
9,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Charred,BBQ Joint,-79.87721174955368
10,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Booster Juice,Juice Bar,-79.87721174955368
11,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Lou Dawg's Southern Bbq,BBQ Joint,-79.87721174955368
12,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Freshly Squeezed,Juice Bar,-79.87721174955368
13,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Saltlick Smokehouse,BBQ Joint,-79.87721174955368
14,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Big Scoops,Ice Cream Parlor,-79.87721174955368
15,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,-79.87721174955368
16,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,K W BBQ Kitchen,BBQ Joint,-79.87721174955368
17,8,4,43.259125842121065,-79.87721174955368,12,4.5,14.0,-79.87721174955368,Willard's Ice Cream,Ice Cream Parlor,-79.87721174955368
18,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Charred,BBQ Joint,-79.87721174955368
19,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Booster Juice,Juice Bar,-79.87721174955368
20,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Lou Dawg's Southern Bbq,BBQ Joint,-79.87721174955368
21,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Freshly Squeezed,Juice Bar,-79.87721174955368
22,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Saltlick Smokehouse,BBQ Joint,-79.87721174955368
23,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Big Scoops,Ice Cream Parlor,-79.87721174955368
24,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,-79.87721174955368
25,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,K W BBQ Kitchen,BBQ Joint,-79.87721174955368
26,8,4,43.259125842121065,-79.87721174955368,12,4.0,10.0,-79.87721174955368,Willard's Ice Cream,Ice Cream Parlor,-79.87721174955368
27,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Charred,BBQ Joint,-79.87721174955368
28,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Booster Juice,Juice Bar,-79.87721174955368
29,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Lou Dawg's Southern Bbq,BBQ Joint,-79.87721174955368
30,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Freshly Squeezed,Juice Bar,-79.87721174955368
31,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Saltlick Smokehouse,BBQ Joint,-79.87721174955368
32,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Big Scoops,Ice Cream Parlor,-79.87721174955368
33,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,-79.87721174955368
34,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,K W BBQ Kitchen,BBQ Joint,-79.87721174955368
35,8,4,43.259125842121065,-79.87721174955368,12,4.5,57.0,-79.87721174955368,Willard's Ice Cream,Ice Cream Parlor,-79.87721174955368
36,8,4,43.259125842121065,-79.87721174955368,12,4.5,22.0,-79.87721174955368,Charred,BBQ Joint,-79.87721174955368
37,8,4,43.259125842121065,-79.87721174955368,12,4.5,22.0,-79.87721174955368,Booster Juice,Juice Bar,-79.87721174955368
38,8,4,43.259125842121065,-79.87721174955368,12,4.5,22.0,-79.87721174955368,Lou Dawg's Southern Bbq,BBQ Joint,-79.87721174955368
